,ICD11_Code,Ayurveda_NAMC_CODE,Siddha_NAMC_CODE,Unani_NUMC_CODE,ICD11_Title
30,1A11.0,PE-1.11,TIB1.2,F-31.3,Foodborne intoxication by botulinum toxin
31,1A11.1,EM-2.8.11,NAA1.2,A-33.6,Other forms of botulism
32,1A11.Z,AAA-2.3,Z$22,M-11.5,"Botulism, unspecified"
33,1A12,PE-1.11,WAB1.23,C-118,Foodborne Clostridium perfringens intoxication
34,1A13,ED-9.5,YF18,NB,Foodborne Bacillus cereus intoxication
35,1A1Y,ED-9.5,YF18,F-92.9,Other specified bacterial foodborne intoxications
36,1A1Z,ED-9.5,YF18,F-92.9,"Bacterial foodborne intoxications, unspecified"
37,,SI-4,TDB1.7,FE,Viral intestinal infections
38,1A20,SI-4,TDB1.7,FB,Enteritis due to Adenovirus
39,1A21,SI-4,JCA1.1,FB,Gastroenteritis due to Astrovirus
40,1A22,SM75(AAC-14),YF14,F-22.2,Gastroenteritis due to Rotavirus
41,1A23,SI-4,EFA1.2,K-1.1.23,Enteritis due to Norovirus
42,1A24,SI-4,YF18,FB,Intestinal infections due to Cytomegalovirus
43,1A2Y,SI-4,EFA1.2,FE,Other specified viral intestinal infections
44,1A2Z,SI-4,TDB1.7,FB,"Viral intestinal infections, unspecified"
45,,ED-16.9,QAB1.2,FB,Protozoal intestinal infections
46,1A30,ED-16.9,JAB1.9,F-92.5,Infections due to Balantidium coli
47,1A31,PE-6.7,YF12,J-54.4,Giardiasis
48,1A32,ED-6,YB1,O-212,Cryptosporidiosis
49,1A33,SS-3.1,BUB1.4,JA,Cystoisosporiasis
50,1A33.0,EB-2.8,Z58,FE,Cystoisosporiasis of small intestine
51,1A33.1,EB-2.8,YB1,F-83.14,Cystoisosporiasis of colon
52,1A33.Y,SS-3.1,BUB1.4,M-5.2,Other specified cystoisosporiasis
53,1A33.Z,SS-3.1,YB1,M-11,"Cystoisosporiasis, unspecified"
54,1A34,PE-1.3.1.5,PCD1.4,F-92.12,Sarcocystosis
55,1A35,ED-6.7.1,SAI1.2,M-16.15,Blastocystosis
56,1A36,PE-1.2.1.1,BAA1.1,F-95.4,Amoebiasis
57,1A36.0,ED-16.9,YF35,FE,Intestinal infections due to Entamoeba
58,1A36.00,BI-22,BAA1.1,K-1.1.9,Acute amoebiasis
59,1A36.01,LE-10,YB1,FE,Amoeboma of intestine
60,1A36.0Y,ED-16.9,EFA1.2,FE,Other specified intestinal infections due to Entamoeba
61,1A36.0Z,ED-16.9,YF35,FE,"Intestinal infections due to Entamoeba, unspecified"
62,1A36.1,SI-3.4.6,YF35,F-31.3,Extraintestinal infections due to Entamoeba
63,1A36.10,SM42 (EK-4.6),TIB1.2,F-64,Amoebic liver abscess
64,1A36.11,SL00 (GF-15),DBC1.2,D-29,Amoebic lung abscess
65,1A36.12,ABC-7,BAA1.1,J-54.1,Cutaneous amoebiasis
66,1A36.1Y,PE-6.10,BAA1.1,O-323,Amoebiasis of other specified sites
67,1A36.Z,PE-1.2.1.1,BAA1.1,K-9,"Amoebiasis, unspecified"
68,1A3Y,ED-16.9,QAB1.2,FB,Other specified protozoal intestinal infections
69,1A3Z,ED-16.9,QAB1.2,FB,"Protozoal intestinal infections, unspecified"
70,1A40,EB-2.8,ECB1.1,F-92.18,Gastroenteritis or colitis without specification of infectious agent
71,1A40.0,SR81 (CB-1),ECB1.1,F-92.18,Gastroenteritis or colitis without specification of origin
72,1A40.Z,BI-20,YB11,F-92.18,Infectious gastroenteritis or colitis without specification of infectious agent
73,,EI-2.7.3,GHA1.2,I-56.2,Predominantly sexually transmitted infections
74,,EI-5.6,VAA1.1,I-56.1,Syphilis
75,1A60,EL-8.4,VAA1.1,I-56.1,Congenital syphilis
76,1A60.0,EJ-4.11,VAA1.1,I-56.1,"Early congenital syphilis, symptomatic"
77,1A60.1,EL-8.4,VAA1.1,I-56.1,"Early congenital syphilis, latent"
78,1A60.2,EL-8.4,VAA1.1,I-56.1,Late congenital syphilitic oculopathy
79,1A60.3,EL-8.4,VAA1.1,I-56.1,Late congenital neurosyphilis
80,1A60.4,EI-5.6,VAA1.1,I-56.1,"Other late congenital syphilis, symptomatic"
81,1A60.5,EL-8.4,VAA1.1,I-56.1,"Late congenital syphilis, latent"
82,1A60.Z,EL-8.4,VAA1.1,I-56.1,"Congenital syphilis, unspecified"
83,1A61,EI-5.6,VAA1.1,I-56.1,Early syphilis
84,1A61.0,EI-5.6,VAA1.1,I-56.1,Primary genital syphilis
85,1A61.1,EI-2.7.3,VAB1.1,I-56.1,Primary anal syphilis
86,1A61.2,ED,VAC1.1,I-56.1,Primary syphilis of other sites
87,1A61.3,ABC-7,VAA1.1,I-56.1,Secondary syphilis of skin or mucous membranes
88,1A61.4,ED,VAC1.1,I-56.1,Secondary syphilis of other sites
89,1A61.5,EI-5.6,VAA1.1,I-56.1,Latent early syphilis
90,1A61.Y,EM-2.9,VAA1.1,I-56.1,Other specified early syphilis
91,1A61.Z,ABC-6,VAA1.1,I-56.1,"Early syphilis, unspecified"
92,1A62,EI-5.6,VAA1.1,I-56.1,Late syphilis
93,1A62.0,EM-2.9,VAA1.1,AB,Neurosyphilis
94,1A62.00,ACC-5,VAA1.1,AC,Asymptomatic neurosyphilis
95,1A62.01,O-46.1,Z$31,M-18.7,Symptomatic late neurosyphilis
96,1A62.0Z,EM-2.9,VAB1.1,I-56.1,"Neurosyphilis, unspecified"
97,1A62.1,EA-3.6,VAA1.1,E-45,Cardiovascular late syphilis
98,1A62.2,ED,VAC1.1,I-56.1,Symptomatic late syphilis of other sites
99,1A62.20,ACC-6,JAB1.7,I-56.1,Ocular late syphilis
100,1A62.21,ABC-7,VAA1.1,E-45,Late syphilis involving the musculoskeletal system
101,1A62.22,ABC-7,VAA1.1,I-56.1,Late syphilis of skin or mucous membranes
102,1A62.2Y,ED,VAC1.1,I-56.1,Symptomatic late syphilis of other specified sites
103,1A62.2Z,ED,VAC1.1,I-56.1,Symptomatic late syphilis of unspecified site
104,1A62.Y,EC-5.6,VAA1.1,I-56.1,Other specified late syphilis
105,1A62.Z,PE-2.12,VAA1.1,I-56.1,"Late syphilis, unspecified"
106,1A63,EM-2.9,VAA1.1,I-56.1,"Latent syphilis, unspecified as early or late"
107,1A6Z,ED,VAA1.1,I-56.1,"Syphilis, unspecified"
108,,LD-5,Z#6,B-1.7,Gonococcal infection
109,1A70,LD-5,Z#6,B-1.7,Gonococcal genitourinary infection
110,1A70.0,ED-16.11,Z#6,G-26,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
111,1A70.00,EI-2.7.2,Z#6,H-26,Gonorrhoea of penis
112,1A70.0Y,ST-3.1,Z#6,G-26,Other specified gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
113,1A70.0Z,ED-16.11,Z#6,G-26,"Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified"
114,1A70.1,ED-16.11,Z#6,M-5.1,Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess
115,1A70.Y,LD-5,Z#6,B-1.7,Gonococcal infection of other specified genitourinary organ
116,1A70.Z,LD-5,Z#6,B-1.7,"Gonococcal genitourinary infection, unspecified"
117,1A71,AAA-2.5,YB1,B-1.7,Gonococcal pelviperitonitis
118,1A72,LD-5,Z#6,B-1.7,Gonococcal infection of other sites
119,1A72.0,ED-13.3,Z6,I-20,Gonococcal infection of musculoskeletal system
120,1A72.1,SM55 (O-18),Z#6,F-89.1,Gonococcal infection of rectum
121,1A72.2,SI-4,Z#6,FF,Gonococcal infection of anus
122,1A72.3,EB-11.10,THA1.1,C-98,Gonococcal pharyngitis
123,1A72.4,SS-6,NAA1.8,B-1.7,Gonococcal infection of eye
124,1A72.Y,LD-5,Z#6,B-1.7,Gonococcal infection of other specified sites
125,1A73,LD-5,Z#6,B-1.7,Disseminated gonococcal infection
126,1A7Z,LD-5,Z#6,B-1.7,"Gonococcal infection, unspecified"
127,,EI-2.7.3,VAA1.1,I-56.2,Sexually transmissible infections due to chlamydia
128,1A80,SN30 (EI-5),GHA1.2,HA,Chlamydial lymphogranuloma
129,1A81,EI-2.7.3,VAA1.1,I-56.2,Nonulcerative sexually transmitted chlamydial infection
130,1A81.0,SN30 (EI-5),RPA1.2,I-64,Chlamydial infection of lower genitourinary tract
131,1A81.1,SN30 (EI-5),RPA1.2,I-64,Chlamydial infection of internal reproductive organs
132,1A81.Y,EI-2.7.3,VAA1.1,I-56.2,Nonulcerative sexually transmitted chlamydial infection of other specified site
133,1A81.Z,EI-2.7.3,VAA1.1,I-56.2,Nonulcerative sexually transmitted chlamydial infection of unspecified site
134,1A8Y,EI-2.7.3,VAA1.1,I-56.2,Other specified sexually transmissible infections due to chlamydia
135,1A8Z,EI-2.7.3,GHA1.2,I-56.2,"Sexually transmissible infections due to chlamydia, unspecified"
136,1A90,U-18,RGB1.1,BK,Chancroid
137,1A91,AAA-2.5,YB1,M-11.8,Granuloma inguinale
138,1A92,K-1.14,YB2,B-74,Trichomoniasis
139,1A93,EI-5.6,VAC1.1,I-56,Sexually transmissible infestations
140,1A94,SM01 (ED-13),MDB1.2,I-26,Anogenital herpes simplex infection
141,1A94.0,SN0A (O-25),MDB1.2,I-56.2,Herpes simplex infection of genitalia or urogenital tract
142,1A94.1,SM52 (ED-16),MDB1.2,J-11,Herpes simplex infection of perianal skin or rectum
143,1A94.Z,SM01 (ED-13),GHA1.2,I-26,Anogenital herpes simplex infection without further specification
144,1A95,SK6H (HB-18),TMA1.9,H-31,Anogenital warts
145,1A95.0,SM54 (MD-7),JAB1.3,H-31,Anal warts
146,1A95.1,SK6H (HB-18),GAA1.2,H-31,Genital warts
147,1A95.2,LD-1.11,GHB1.7,O-22.1.1,Extragenital condylomata acuminata
148,1A95.Z,SK6H (HB-18),QAB1.2,H-31,"Anogenital warts, unspecified"
149,1A9Y,EI-2.7.3,GAA1.2,I-56.2,Other specified predominantly sexually transmitted infections
150,1A9Z,EI-2.7.3,GHA1.2,I-56.2,"Predominantly sexually transmitted infections, unspecified"
151,,BI-20,Z$35,F-92.18,Mycobacterial diseases
152,,SL08 (GF-17),Z$35,D-31,Tuberculosis
153,1B10,SL41(EA-3),Z$35,D-31,Tuberculosis of the respiratory system
154,1B10.0,SL41(EA-3),Z$35,D-31,"Respiratory tuberculosis, confirmed"
155,1B10.1,SL41(EA-3),Z$35,D-31,"Respiratory tuberculosis, not confirmed"
156,1B10.Z,SL41(EA-3),Z$35,D-31,"Respiratory tuberculosis, without mention of bacteriological or histological confirmation"
157,1B11,SQ20 (EM-5),Z$35,D-31,Tuberculosis of the nervous system
158,1B11.0,SM18 (GE-1),Z$35,D-31,Tuberculous meningitis
159,1B11.1,PE-1.12,Z$35,D-31,Tuberculous meningoencephalitis
160,1B11.2,SN4N (O-36),SAE1.9,I-21,Meningeal tuberculoma
161,1B11.3,SL08 (GF-17),Z$35,I-21,Tuberculous granuloma of brain
162,1B11.Y,SQ20 (EM-5),Z$35,D-31,Other tuberculosis of nervous system
163,1B11.Z,SL08 (GF-17),Z$35,D-31,"Tuberculosis of the nervous system, unspecified"
164,1B12,EJ-4.11.2,Z$35,D-15,Tuberculosis of other systems and organs
165,1B12.0,LD-2.12,Z$35,D-31,Tuberculosis of heart
166,1B12.1,ACC-6,NAB1.15,BG,Tuberculosis of eye
167,1B12.2,SK89 (JA-6),BIA1.10,CA,Tuberculosis of ear
168,1B12.3,SL08 (GF-17),Z$35,M-16.16,Tuberculosis of endocrine glands
169,1B12.4,SR52 (EE-1),Z$35,M-35,Tuberculosis of the musculoskeletal system
170,1B12.40,K-2.1.5,CAA1.4,M-35,Tuberculosis of bones or joints
171,1B12.41,SM01 (ED-13),Z$35,D-31,Tuberculous myositis
172,1B12.4Y,SR52 (EE-1),Z$35,M-35,Tuberculosis of other specified part of the musculoskeletal system
173,1B12.4Z,SR52 (EE-1),Z$35,D-31,"Tuberculosis of the musculoskeletal system, unspecified"
174,1B12.5,ED-16.9,Z$35,D-31,Tuberculosis of the genitourinary system
175,1B12.6,SL08 (GF-17),BBB1.2,M-35,Tuberculous peripheral lymphadenopathy
176,1B12.7,SM36(EB-7),Z$35,D-15,Tuberculosis of the digestive system
177,1B12.8,ED,Z$35,D-31,Cutaneous tuberculosis
178,1B12.Y,SL08 (GF-17),Z$35,D-31,Tuberculosis of other specified organ or site
179,1B13,SM01 (ED-13),Z$35,D-31,Miliary tuberculosis
180,1B13.0,SM01 (ED-13),Z$35,D-31,Acute miliary tuberculosis of a single specified site
181,1B13.1,SM01 (ED-13),Z$35,D-31,Acute miliary tuberculosis of multiple sites
182,1B13.2,SM01 (ED-13),Z$35,D-31,"Acute miliary tuberculosis, unspecified site"
183,1B13.Y,SM01 (ED-13),Z$35,D-31,Other specified miliary tuberculosis
184,1B13.Z,SM01 (ED-13),Z$35,D-31,"Miliary tuberculosis, unspecified"
185,1B14,EJ-4.11.2,Z$35,D-31,Latent tuberculosis
186,1B1Y,EA-3.5,Z$35,D-31,Other specified tuberculosis
187,1B1Z,SL08 (GF-17),Z$35,D-31,"Tuberculosis, unspecified"
188,1B20,PA-29,YD6,M-35.2,Leprosy
189,1B20.0,PA-29,MDB1.3,M-35.2,Paucibacillary leprosy
190,1B20.1,PA-29,YD6,M-35.2,Multibacillary leprosy
191,1B20.2,PA-29,YD6,M-35.2,Leprosy reactions
192,1B20.20,PA-29,YD6,M-35.2,Type I leprosy reaction
193,1B20.21,PA-29,YD6,M-35.2,Type II leprosy reaction
194,1B20.3,PA-29,VAA1.1,M-35.2,Complications of leprosy
195,1B20.Z,PA-29,YB11,M-35.2,"Leprosy, unspecified"
196,1B21,ED-16.11,JAB1.9,M-3,Infections due to nontuberculous mycobacteria
197,1B21.0,EJ-4.11.2,Z$35,D-29,Pulmonary infection due to nontuberculous mycobacterium
198,1B21.1,SM01 (ED-13),BBB1.2,D-31,Nontuberculous mycobacterial lymphadenitis
199,1B21.2,SM01 (ED-13),JAB1.9,M-3,Cutaneous nontuberculous mycobacterial infection
200,1B21.20,K-4,ECB1.1,M-5.13,Mycobacterium ulcerans infection
201,1B21.2Y,ED,JAB1.9,M-1.10,Cutaneous infection due to other specified nontuberculous mycobacteria
202,1B21.2Z,ED,JAB1.9,M-3,Cutaneous infection due to unspecified nontuberculous mycobacteria
203,1B21.3,ED-16.11,JAB1.9,F-92.5,Disseminated nontuberculous mycobacterial infection
204,1B21.4,ED-16.11,TFA1.3,F-92.14,Gastrointestinal nontuberculous mycobacterial infection
205,1B21.Y,ED-16.11,JAB1.9,F-92.5,Nontuberculous mycobacterial infection of other specified site
206,1B21.Z,ED-16.11,JAB1.9,F-92.5,Nontuberculous mycobacterial infection of unspecified site
207,1B2Y,BI-20,WAB1.3,F-92.18,Other specified mycobacterial diseases
208,1B2Z,BI-20,Z$35,F-92.18,"Mycobacterial diseases, unspecified"
209,,PE-6.15,THA1.1,CI,Certain staphylococcal or streptococcal diseases
210,,PE-1.3.1.4,CAA1.2,K-1.1.9,Acute rheumatic fever
211,1B40,SM01 (ED-13),CAA1.2,K-9,Acute rheumatic fever without mention of heart involvement
212,1B40.0,ED-11.2,CAA1.2,L-3,"Rheumatic arthritis, acute or subacute"
213,1B40.Y,PE-6.1,CAA1.2,K-9,Other specified acute rheumatic fever without mention of heart involvement
214,1B40.Z,SM01 (ED-13),CAA1.2,K-9,"Acute rheumatic fever without mention of heart involvement, unspecified"
215,1B41,SP11(EC-6),CAA1.2,E-5.1,Acute rheumatic fever with heart involvement
216,1B41.0,PE-4.12,LBC1.1,E-1,Acute rheumatic pericarditis
217,1B41.1,PE-4.12,LBC1.1,E-1,Acute rheumatic endocarditis
218,1B41.10,LE-5,CAA1.2,E-44,Rheumatic aortitis
219,1B41.1Y,SI-3.4.1,LBC1.1,E-5,Other specified acute rheumatic endocarditis
220,1B41.1Z,PE-4.12,LBC1.1,E-1,"Acute rheumatic endocarditis, unspecified"
221,1B41.2,PE-4.12,CAA1.2,E-1,Acute rheumatic myocarditis
222,1B41.Y,SI-1.6,CAA1.2,E-5,Other acute rheumatic heart disease
223,1B41.Z,SI-1.6,CAA1.2,E-0,"Acute rheumatic heart disease, unspecified"
224,1B42,LE-5,CAA1.2,F-90.7,Rheumatic chorea
225,1B50,PE-1.3.1.4,WAA1.5,K-21,Scarlet fever
226,1B51,PE-6.9,THA1.1,O-13.10,Streptococcal pharyngitis
227,1B53,SN-5,TDC1.3,A-5.6,Meningitis due to Streptococcus
228,1B54,PC-5,TDC1.3,A-5.6,Meningitis due to Staphylococcus
229,1B5Y,PE-6.16,YB11,CI,Other specified staphylococcal or streptococcal diseases
230,1B5Z,PE-6.15,YB11,O-13.10,"Staphylococcal or streptococcal diseases, unspecified"
231,,SN4P (O-46),BMB1.1,M-1.9,Pyogenic bacterial infections of the skin or subcutaneous tissues
232,1B70,PE-4.9,BBB1.2,CF,"Bacterial cellulitis, erysipelas or lymphangitis"
233,1B70.0,NB-4.1,Z3,M-8,Erysipelas
234,1B70.00,SK20(AAC-4),UBA1.10,B-82,Erysipelas of face
235,1B70.01,SK89 (JA-6),BIA1.10,C-4,Erysipelas of external ear
236,1B70.02,LD-1.8,Z3,M-5.21,Erysipelas of lower limb
237,1B70.0Y,NB-4.1,BUB1.6,M-8,Erysipelas of other specified site
238,1B70.0Z,NB-4.1,BUB1.6,M-18.7,"Erysipelas, unspecified"
239,1B70.1,ED,BFB1.3,JB,Streptococcal cellulitis of skin
240,1B70.2,ED,BFB1.3,JA,Staphylococcal cellulitis of skin
241,1B70.3,SL06 (GE-3),BBB1.2,M-23.1,Ascending bacterial lymphangitis
242,1B70.Y,PE-4.9,BBB1.2,M-5.13,Bacterial cellulitis or lymphangitis due to other specified bacterium
243,1B70.Z,PE-4.9,BBB1.2,M-5.13,Bacterial cellulitis or lymphangitis due to unspecified bacterium
244,1B71,K-1.1.1,WAA1.3,A-32.1,Necrotising fasciitis
245,1B71.0,K-1.3,WAA1.3,O-13.10,Streptococcal necrotising fasciitis
246,1B71.1,ED-16.9,WAA1.3,M-1.9,Polymicrobial necrotising fasciitis
247,1B71.2,EL-7.2,WAA1.3,A-38.6,Neonatal necrotising fasciitis
248,1B71.Y,ED-9.5,WAA1.3,M-1.9,Necrotising fasciitis due to other specified bacterial infection
249,1B71.Z,K-1.1.1,WAA1.3,A-32.1,"Necrotising fasciitis, unspecified"
250,1B72,LH-4.9,YB7,K-13.2,Impetigo
251,1B72.0,SR15(ABA-2.1),YB7,A-19.5,Bullous impetigo
252,1B72.1,LH-4.9,YB7,F-6.1,Nonbullous impetigo
253,1B72.2,SS-3.1,BUB1.3,JA,Secondary impetiginisation of the skin
254,1B72.Y,U-9.1,YB7,O-319,Other specified impetigo
255,1B72.Z,LH-4.9,YB7,K-13.2,"Impetigo, unspecified"
256,1B73,ED-6.7.7,TAA1.7,A-29.5,Ecthyma
257,1B73.0,PE-2.3,JAB1.9,O-13.10,Streptococcal ecthyma
258,1B73.1,PE-4.22,TAB1.4,O-13.10,Staphylococcal ecthyma
259,1B73.2,PE-2.12,SAE1.4,M-10.5,Ecthyma gangrenosum
260,1B73.Y,ED-6.7.3,TAA1.5,A-29.5,Other specified ecthyma
261,1B73.Z,ED-6.7.3,TAA1.5,A-29.5,"Ecthyma, unspecified"
262,1B74,AB-3,BMB1.1,J-58,Superficial bacterial folliculitis
263,1B74.0,ABC-7,BMB1.1,J-58,Staphylococcus aureus superficial folliculitis
264,1B74.Y,ED,BMB1.1,J-58,Superficial bacterial folliculitis due to other specified organism
265,1B74.Z,ED,BMB1.1,J-58,Superficial bacterial folliculitis due to unspecified organism
266,1B75,ED,BMB1.1,J-58,Deep bacterial folliculitis or pyogenic abscess of the skin
267,1B75.0,SR85(CC-1),RCB1.2,J-24,Furuncle
268,1B75.1,GGGGGQ,RCB1.1,C-83,Carbuncle
269,1B75.2,SK-3.3,YB1,JD,Furunculosis
270,1B75.3,ED,NEC1.2,M-4,Pyogenic abscess of the skin
271,1B75.4,PC-5,BMB1.1,J-58,Chronic deep bacterial folliculitis
272,1B75.Z,ED,BMB1.1,J-58,"Deep bacterial folliculitis or pyogenic abscess of the skin, unspecified"
273,1B7Y,ED,BMB1.1,M-1.9,Other specified pyogenic bacterial infection of skin or subcutaneous tissue
274,1B7Z,SN4P (O-46),BMB1.1,M-11,"Pyogenic bacterial infection of skin or subcutaneous tissue, unspecified"
275,,PA-34,WAC1.6,F-92.5,Certain zoonotic bacterial diseases
276,1B90,PE-1.3.1.4,WAB1.21,KB,Ratbite fevers
277,1B90.0,LB-1.2,YB1,FD,Spirillosis
278,1B90.1,PC-10.1,WAB1.19,C-53.1,Streptobacillosis
279,1B91,BI-19,SAC1.7,M-35.2,Leptospirosis
280,1B92,PE-2.15,BFC1.1,M-16.16,Glanders
281,1B93,PE-6.25.6,MDB1.6,M-23.3,Plague
282,1B93.0,PE-4.17,MDB1.6,M-23.3,Bubonic plague
283,1B93.1,PD-2,MDB1.6,M-23.2,Cellulocutaneous plague
284,1B93.2,PE-6.7,MDB1.6,M-23.3,Pneumonic plague
285,1B93.3,PE-1.11,MDB1.6,M-23.3,Plague meningitis
286,1B93.Y,PA-34,MDB1.6,M-23.2,Other specified plague
287,1B93.Z,PE-1.11,MDB1.6,M-23.2,"Plague, unspecified"
288,1B94,K-15.1,AAA1.1,B-69,Tularaemia
289,1B94.0,SL71 (K-12),HBA1.11,M-5.4,Ulceroglandular tularaemia
290,1B94.Y,K-15.1,AAA1.1,B-69,Other specified tularaemia
291,1B94.Z,K-15.1,AAA1.1,B-69,"Tularaemia, unspecified"
292,1B95,SW-4,YB1,M-3,Brucellosis
293,1B96,ED-6.7.1,BHB1.2,M-18.7,Erysipeloid
294,1B97,EB-10.17,NAB1.12,O-388,Anthrax
295,1B98,SK-3.3,DBD1.1,D-7.4,Catscratch disease
296,1B99,EI-3.9,YB1,F-83,Pasteurellosis
297,1B9A,EB-9.1,YB1,K-1.1.23,Extraintestinal yersiniosis
298,1B9Z,PE-4.17,JAB1.9,F-92.5,Unspecified zoonotic bacterial disease
299,,AAA-2.4,WAB1.23,F-92.18,Other bacterial diseases
300,1C10,ED-16.9,YB1,M-26,Actinomycosis
301,1C10.0,SL40(EA-4.5),Z$35,DB,Pulmonary actinomycosis
302,1C10.1,EB-2.2.1,YB1,FB,Abdominal actinomycosis
303,1C10.2,EB-2.2.1,YB1,M-26,Cervicofacial actinomycosis
304,1C10.3,ED,YB1,M-8,Primary cutaneous actinomycosis
305,1C10.Y,EB-2.2.1,YB1,M-26,Other specified forms of actinomycosis
306,1C10.Z,EB-2.2.1,YB1,M-26,"Actinomycosis, unspecified"
307,1C11,PA-31,AAA1.1,NB,Bartonellosis
308,1C11.0,NB-3.12,DBD1.1,FB,Carrion disease
309,1C11.00,ED-6.3,WAB1.13,K-21,Oroya fever
310,1C11.01,EJ-4.7,AEC1.1,M-18.2,Verruga peruana
311,1C11.1,SN4P (O-46),JAB1.7,K-1.1.21,Trench fever
312,1C11.Y,PA-31,WAA1.2,D-7.4,Other forms of bartonellosis
313,1C11.Z,PE-1.1.3,AAA1.1,M-26,"Bartonellosis, unspecified"
314,1C12,SL04 (GF-1),DBC1.1,D-7.6,Whooping cough
315,1C12.0,BI-3,DBD1.1,D-8,Whooping cough due to Bordetella pertussis
316,1C12.1,SL40(EA-4.5),DBD1.1,D-8,Whooping cough due to Bordetella parapertussis
317,1C12.Y,SL41(EA-3),DBC1.3,D-7.6,Other specified whooping cough
318,1C12.Z,SL04 (GF-1),Z$35,D-7.6,"Whooping cough, unspecified"
319,1C13,SP98 (EM-7),TMB1.3,A-38.7,Tetanus
320,1C14,EL-7.3,Z52,A-38.6,Obstetrical tetanus
321,1C15,VG-4.6,BTB1.2,A-38.6,Tetanus neonatorum
322,1C16,ABC-3,TJA1.2,M-10.6,Gas gangrene
323,1C17,ED-4.2,DAA1.2,F-69.1,Diphtheria
324,1C17.0,SL08 (GF-17),SBA6.2,C-99,Pharyngeal or tonsillar diphtheria
325,1C17.00,SG-3.12,SAE1.9,CJ,Postdiphtheritic paralysis of uvula
326,1C17.0Y,EA-3.2,SBA6.2,C-107,Other specified pharyngeal or tonsillar diphtheria
327,1C17.0Z,SL08 (GF-17),SBA6.2,C-99,"Pharyngeal or tonsillar diphtheria, unspecified"
328,1C17.1,I-1.8,SBD1.2,CB,Nasal diphtheria
329,1C17.2,BI-21,DCC1.3,C-103,Laryngeal diphtheria
330,1C17.3,ED,BSA1.2,J-54.1,Cutaneous diphtheria
331,1C17.Y,EM-5.2,DAA1.2,B-3.2,Other specified diphtheria
332,1C17.Z,SK-3.12,QAB1.2,F-69.1,"Diphtheria, unspecified"
333,1C18,SN4P (O-46),JAB1.7,K-21.3,Brazilian purpuric fever
334,1C19,SP5B (BI),AAA1.1,M-3,Legionellosis
335,1C19.0,K-15,WAB1.8,K-9,Nonpneumonic Legionnaires' disease
336,1C19.1,K-15,SAE1.12,K-1.1.1,Legionnaires disease
337,1C19.Z,SP5B (BI),AAA1.1,K-9,"Legionellosis, unspecified"
338,1C1A,SK-2,DCC1.3,CI,Listeriosis
